Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Nightmare City,0|0|0|0|0|84,Win,,,,,,,,,,,,,,
,,,,,,island Devil,31,1,13,1,0,0,2,10,55.6,18,6,13,46.2
,,,,,,xLattin,27,0,1,2,0,2,1,11,61.1,18,5,11,45.5
,,,,,,XxCLUSIVE,11,12,3,1,0,3,2,5,83.3,6,1,1,100.0
,,,,,,IIBallwatchingll,9,2,4,3,1,0,1,4,66.7,6,1,3,33.3
,,,,,,Catchingblessing,6,8,4,0,3,1,0,2,66.7,3,2,2,100.0
,,,Black Men Don't Cheat,0|0|0|0|0|62,Loss,,,,,,,,,,,,,,,
,,,,,,YouWentOnLive,19,1,2,1,0,1,1,6,46.2,13,5,10,50.0
,,,,,,Ejenk21,18,0,5,1,0,0,4,6,35.3,17,6,16,37.5
,,,,,,exploitgawdtv--,15,9,6,1,0,2,2,6,60.0,10,0,3,0.0
,,,,,,Ksquaddavis,10,1,0,2,0,4,0,4,100.0,4,2,2,100.0
,,,,,,ysalB,0,5,1,0,0,1,2,0,0.0,1,0,0,0
